,place_of_visit,visit_start,visit_end,num_days,flight_expense
0,Bhutan,2014-06-15,2014-06-16,1.0,24527465
1,Brazil,2014-07-13,2014-07-17,4.0,203548000
2,Nepal,2014-08-03,2014-08-05,2.0,
3,Japan,2014-08-30,2014-09-03,4.0,134758000
4,USA,2014-09-25,2014-10-01,6.0,190460000
5,Myanmar,2014-11-11,2014-11-13,2.0,75288333
6,Australia,2014-11-14,2014-11-19,4.0,75288333
7,Fiji,2014-11-19,2014-11-20,3.0,75288333
8,Nepal,2014-11-25,2014-11-27,2.0,
9,Seychelles,2015-03-10,2015-03-11,1.0,52841666
10,Mauritius,2015-03-11,2015-03-13,2.0,52841666
11,Sri Lanka,2015-03-13,2015-03-14,1.0,52841666
12,Singapore,2015-03-28,2015-03-29,1.0,
13,France,2015-04-09,2015-04-12,3.0,104192667
14,Germany,2015-04-12,2015-04-14,2.0,104192667
15,Canada,2015-04-14,2015-04-17,3.0,104192667
16,China ,2015-05-14,2015-05-16,1.0,50514333
17,Mongolia,2015-05-16,2015-05-17,1.0,50514333
18,South Korea,2015-05-17,2015-05-19,2.0,50514333
19,Bangladesh,2015-06-06,2015-06-07,1.0,
20,Uzbekistan,2015-07-06,2015-07-06,1.0,19729875
21,Kazakhstan,2015-07-07,2015-07-07,1.0,19729875
22,Russia,2015-07-08,2015-07-10,2.0,19729875
23,Turkmenistan,2015-07-10,2015-07-11,1.0,19729875
24,Kyrgyzstan,2015-07-12,2015-07-12,1.0,19729875
25,Tajikistan,2015-07-12,2015-07-14,2.0,19729875
26,United Arab Emirates,2015-08-16,2015-08-17,1.0,59066000
27,Ireland,2015-09-23,2015-09-23,1.0,30782500
28,USA,2015-09-24,2015-09-29,5.0,153912500
29,UK,2015-11-12,2015-11-14,2.0,46546500
30,Turkey,2015-11-14,2015-11-16,3.0,46546500
31,Malaysia,2015-11-20,2015-11-22,2.0,35246500
32,Singapore,2015-11-23,2015-11-25,2.0,35246500
33,France,2015-11-29,2015-11-30,1.0,68281000
34,Russia,2015-12-23,2015-12-24,1.0,27137000
35,Afghanistan,2015-12-24,2015-12-25,0.5,27137000
36,Pakistan,2015-12-25,2015-12-25,0.5,27137000
37,Belgium,2016-03-30,2016-03-30,1.0,39625500
38,USA,2016-03-31,2016-04-01,1.0,39625500
39,Saudi Arabia,2016-04-01,2016-04-03,2.0,39625500
40,Iran,2016-05-22,2016-05-23,1.0,
41,Afghanistan,2016-06-04,2016-06-04,1.0,23194333
42,Qatar,2016-06-04,2016-06-05,1.0,23194333
43,Switzerland,2016-06-06,2016-06-06,0.5,23194333
44,USA,2016-06-06,2016-06-08,2.0,23194333
45,Mexico,2016-06-09,2016-06-09,0.5,23194333
46,Uzbekistan,2016-06-23,2016-06-24,1.0,63278000
47,Mozambique,2016-07-07,2016-07-07,1.0,32023500
48,South Africa,2016-07-07,2016-07-09,2.0,32023500
49,Tanzania,2016-07-09,2016-07-10,1.0,32023500
50,Kenya,2016-07-10,2016-07-11,1.0,32023500
51,Vietnam,2016-09-02,2016-09-03,1.0,31797000
52,China,2016-09-03,2016-09-05,2.0,63594000
53,Laos,2016-09-07,2016-09-08,1.0,47751000
54,Japan,2016-11-10,2016-11-12,2.0,130586000
55,Sri Lanka,2017-05-11,2017-05-12,1.0,52404000
56,Germany ,2017-05-29,2017-05-30,1.0,41298750
57,Spain,2017-05-30,2017-05-31,1.0,41298750
58,Russia,2017-05-31,2017-06-02,2.0,41298750
59,France,2017-06-02,2017-06-03,1.0,41298750
60,Kazakhstan,2017-06-08,2017-06-09,1.0,56508000
61,Portugal,2017-06-24,2017-06-24,1.0,46093666.666666664
62,USA,2017-06-24,2017-06-26,2.0,46093666.666666664
63,Netherlands,2017-06-26,2017-06-27,1.0,46093666.666666664
64,Israel,2017-07-04,2017-07-06,2.0,56424000
65,Germany,2017-07-06,2017-07-08,2.0,56424000
66,China,2017-09-03,2017-09-05,2.0,69390000
67,Myanmar,2017-09-05,2017-09-07,2.0,69390000
68,Philippines,2017-11-12,2017-11-14,2.0,101168000
69,Switzerland,2018-01-22,2018-01-23,1.0,132083000
70,Jordan,2018-02-09,2018-02-09,0.5,23991000
71,Palestine,2018-02-10,2018-02-10,0.5,23991000
72,UAE,2018-02-10,2018-02-11,1.0,23991000
73,Oman,2018-02-11,2018-02-12,1.0,23991000
74,Sweden,2018-04-16,2018-04-18,2.0,35419000
75,UK,2018-04-18,2018-04-20,1.5,35419000
76,Germany,2018-04-20,2018-04-20,0.5,35419000
77,China,2018-04-26,2018-04-28,2.0,60746000
78,Nepal,2018-05-11,2018-05-12,1.0,16109298
79,Russia,2018-05-21,2018-05-22,1.0,72638000
80,Indonesia,2018-05-29,2018-05-30,1.0,34061333.333333336
81,Malaysia,2018-05-30,2018-05-31,2.0,34061333.333333336
82,Singapore,2018-05-31,2018-06-02,3.0,34061333.333333336
83,China,2018-06-09,2018-06-10,1.0,78356000
84,Rwanda,2018-07-23,2018-07-24,1.0,47058666.666666664
85,Uganda,2018-07-24,2018-07-25,1.0,47058666.666666664
86,South Africa,2018-07-25,2018-07-28,3.0,47058666.666666664
87,Nepal,2018-08-30,2018-08-31,1.0,
88,Japan,2018-10-27,2018-10-30,3.0,
89,Singapore,2018-11-13,2018-11-15,2.0,
90,Maldives,2018-11-17,2018-11-17,0.0,
91,Argentina,2018-11-28,2018-12-03,5.0,
92,South Korea,2019-02-21,2019-02-22,1.0,
